name,price,image,category,franchise
"""ROWDY"" RODDY PIPER - WWE",6.5,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/75101_WWE_RowdyRoddyPiper_POP_GLAM-WEB.png?v=1705506753,POP!,"""ROWDY"""
"""ROWDY"" RODDY PIPER - WWE: HALL OF FAME",16.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/74602_WWE_RowdyRoddyPiper_HoF__POP_GLAM-WEB.png?v=1742569471,POP!,"""ROWDY"""
001 (VAPORIZING) - STRANGER THINGS,9.5,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/78310_StrangerThings_001Vaporized_POP_GLAM-WEB.png?v=1721299476,POP!,001
10 PACK VARIETY POP! STAND BASES,6.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/products/10PackStands_GLAM_Web.png?v=1603885554,POP!,10
10TH ANNIVERSARY BAYMAX ACCORDION WALLET - BIG HERO 6,28.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDWA3129-LFDISNEYBIGHERO610THANNIVERSARYBAYMAXACCORDIONWALLET00002_16db3948-64b2-40ff-a38c-b2412b61af5b.png?v=1723192848,LOUNGEFLY,10TH
10TH ANNIVERSARY BAYMAX MINI BACKPACK - BIG HERO 6,90.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDBK3738-LFDISNEYBIGHERO610THANNIVERSARYBAYMAXMINIBACKPACK00002_eab1f8b1-5430-4d7b-90fb-1a44284853df.png?v=1723192828,LOUNGEFLY,10TH
50TH ANNIVERSARY METALLIC GOLD MINI BACKPACK - HELLO KITTY,80.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/SANBK0549-LFSANRIO50THANNIVERSARYMETALLICGOLDMINIBKPK0081.png?v=1728648321,LOUNGEFLY,50TH
65TH ANNIVERSARY BARBIE,8.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/82778a_Barbie_Barbie65thAnniversary_POP_GLAM-WEB.png?v=1728656527,POP!,65TH
"7"" HERO CHAO - SONIC THE HEDGEHOG PLUSH",13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/HeroChaoPlush_hi-res.png?v=1747130787,PLUSH,"7"""
"7"" LIGHT FURY - HOW TO TRAIN YOUR DRAGON 2",13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/81182_HTTYD_LightFury_Plush-GLAM-WEB.png?v=1718206776,PLUSH,"7"""
"7"" PATCHWORK CATWOMAN",13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80911_DCPATCHWORK_CATWOMAN_PLUSH_GLAM-WEB.png?v=1718207316,PLUSH,"7"""
80TH ANNIVERSARY BARBIE - BARBIE,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83812_Mattel_Mattels80thBarbie_POPRETROTOYS_GLAM-WEB.png?v=1749655379,POP!,80TH
A GOOFY MOVIE 30TH ANNIVERSARY  MINI BACKPACK - DISNEY,80.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDBK3952-LFDISNEYAGOOFYMOVIEMINIBACKPACK-1482.png?v=1737631987,LOUNGEFLY,A
A GOOFY MOVIE 30TH ANNIVERSARY CROSSBODY BAG - DISNEY,70.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDTB3183-LFDISNEYAGOOFYMOVIECROSSBODY-1478.png?v=1737632285,LOUNGEFLY,A
A GOOFY MOVIE ROXANNE CARD HOLDER - DISNEY,25.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDWA3244-LFDISNEYAGOOFYMOVIEROXANNECARDHOLDER0278.png?v=1737990601,LOUNGEFLY,A
A'JA WILSON - WNBA: LAS VEGAS ACES,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/88456_POP_WNBA_Aces_A_ja-Wilson_GLAM-WEB.png?v=1747248218,POP!,A'JA
A.J. BROWN (GREEN AND WHITE) - NFL:EAGLES,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83912_POP_Eagles_AJ-Brown_GLAM-WEB.png?v=1733334698,POP!,A.J.
AANG (AIRBENDING) - AVATAR: THE LAST AIRBENDER POP! DELUXE,30.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/81245_ATLA_S7_Aang_POP_DELUXE_GLAM-WEB.png?v=1730303287,POP! DELUXE,AANG
ABBEY BOMINABLE - MONSTER HIGH,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83818_MonsterHigh_Abbey_POP_GLAM-WEB.png?v=1743506599,POP!,ABBEY
ABBY - SESAME STREET,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80140_SS_S3_Abby_POP_GLAM-WEB.png?v=1724859978,POP!,ABBY
ABIGAIL - ABIGAIL,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/82237_POPMovies_AbductingAbigail_Abigail_POP_FrontRender.png?v=1718208030,POP!,ABIGAIL
ABSOL - POKÃ‰MON,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86365_Pokemon_Absol_POP_GLAM-WEB.png?v=1752572095,POP!,ABSOL
ADMIRAL ACKBAR (RETRO) - STAR WARS,16.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/85342_POP_Star-Wars-Retro_Admiral-Ackbar_GLAM-WEB.png?v=1737993928,POP!,ADMIRAL
ADMIRAL THRAWN - STAR WARS: TALES OF THE EMPIRE,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86591_POP_SW_TotE_Admiral-Thrawn_GLAM-WEB.png?v=1746113924,POP!,ADMIRAL
ADRIANA LA CERVA - THE SOPRANOS,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/75680_Sopranos_AdrianaLaCerva_POP_GLAM-WEB.png?v=1711627034,POP!,ADRIANA
ADVENTURE TIME CHARACTERS MINI BACKPACK - CARTOON NETWORK,85.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/CNBK0015-JUNE2025WEBEXADVENTURETIMEMINIBKPK1602.png?v=1746115158,LOUNGEFLY,ADVENTURE
AEGON TARGARYEN WITH SUNFYRE - HOUSE OF THE DRAGON,24.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/1436_3266_8dd55c85923f5c9_83460_HotD_AegonTargaryenWithSunfyre_POP_RIDE_SUPERDELUXE_GLAM-WEB.png?v=1742313036,POP! RIDE,AEGON
AEMOND TARGARYEN WITH VHAGAR - HOUSE OF THE DRAGON,30.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/84436_HotD_AemondWithVhagar_POP_RIDE_SUPERDELUXE_GLAM-WEB.png?v=1746114081,POP! RIDE,AEMOND
AEROSMITH POP! 5-PACK,60.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/77189_AEROSMITH_POP_Figures_5pk_GLAM-WEB.png?v=1716284813,POP! 5-PACK,AEROSMITH
AGATHA HARKNESS - AGATHA ALL ALONG,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/75708_POP_Agatha-CoC_Agatha_GLAM-WEB.png?v=1726674676,POP!,AGATHA
